# pythia: 8310
# beam_energy: 120.0
# ptcut: 10000
# seed: 758
# mode: soft
# beam_mode: fixed
# total_xsec_mb: 38.4539156061  
# tau_xsec_mb: 0.0000116413   
# event_number particle_count pid E px py pz mother_pid E_mother px_mother py_mother pz_mother weights
1.0000000000e+00 1 -15 4.7037003337e+00 7.5585801274e-01 -3.2484384261e-02 4.2889778439e+00 431 5.6756437633e+00 1.0048207163e+00 -8.6673346926e-02 5.2269304861e+00 5.3600000000e-02
1.0000000000e+00 2 15 2.0666677693e+01 1.1431376193e+00 2.3312152002e+00 2.0425796181e+01 -431 2.0730974296e+01 1.1081562977e+00 2.3589453497e+00 2.0472071435e+01 5.3600000000e-02
1.0000000000e+00 3 -15 1.4019197633e+01 -6.4894570791e-01 -2.5330678649e-01 1.3888683094e+01 411 1.4063033124e+01 -6.6806075420e-01 -2.7805354776e-01 1.3919403822e+01 1.2000000000e-03
1.0000000000e+00 4 15 1.4442326459e+01 1.3367686821e+00 -8.6588050624e-01 1.4243840938e+01 -411 1.4870211848e+01 1.3903221466e+00 -8.0752533939e-01 1.4664331850e+01 1.2000000000e-03
1.0000000000e+00 5 15 4.3487624250e+01 -1.1437538814e+00 -4.7269779347e-01 4.3433682292e+01 -411 4.6935924032e+01 -1.1515484747e+00 -5.0055570991e-01 4.6881860734e+01 1.2000000000e-03
1.0000000000e+00 6 -15 1.7974044374e+01 -7.6575126288e-03 5.5566965866e-02 1.7885917240e+01 431 1.9074013174e+01 -4.0554021952e-02 -1.1704367537e-01 1.8971760115e+01 5.3600000000e-02
1.0000000000e+00 7 15 1.9365790419e+01 9.4595492861e-01 -1.4999823037e+00 1.9202394944e+01 -411 1.9693409337e+01 9.7698727484e-01 -1.4575859727e+00 1.9525773515e+01 1.2000000000e-03
1.0000000000e+00 8 15 4.2049283430e+01 -1.2166692490e-01 -3.4262679329e-01 4.2010152960e+01 -411 4.4472928325e+01 -4.0050200369e-02 -3.9644215721e-01 4.4431825356e+01 1.2000000000e-03
1.0000000000e+00 9 15 1.2419400967e+01 8.3486408566e-02 2.1686018830e-01 1.2289443956e+01 -411 1.3308125074e+01 4.7449231365e-03 2.0341239553e-01 1.3174570768e+01 1.2000000000e-03
1.0000000000e+00 10 15 1.9492858961e+01 -1.6059425876e-01 -3.8741666154e-02 1.9411006407e+01 -411 2.0015650607e+01 -1.0286069696e-01 -9.4002274641e-02 1.9927653488e+01 1.2000000000e-03
1.0000000000e+00 11 15 9.5440522539e+00 -2.3483989210e-01 1.4761783538e-01 9.3730946498e+00 -411 9.6284873226e+00 -2.8604601714e-01 1.5686904488e-01 9.4395899781e+00 1.2000000000e-03
1.0000000000e+00 12 -15 6.7873565148e+00 -4.8879599749e-01 1.6489814468e-01 6.5303144044e+00 411 7.1035939080e+00 -4.5198917009e-01 9.9407509743e-02 6.8374989143e+00 1.2000000000e-03
1.0000000000e+00 13 -15 4.4105445681e+00 1.7604499346e-01 -2.6728688938e-01 4.0240998936e+00 411 4.5349070993e+00 1.0741597929e-01 -2.3722489752e-01 4.1233590203e+00 1.2000000000e-03
1.0000000000e+00 14 15 1.9637867369e+01 9.5650977443e-01 1.1749778484e+00 1.9498545115e+01 -411 2.0479152764e+01 1.0543635786e+00 1.2987124032e+00 2.0324907934e+01 1.2000000000e-03
1.0000000000e+00 15 -15 1.6711694104e+01 -9.7133655362e-01 -9.4354173895e-01 1.6561698729e+01 411 1.7767881486e+01 -9.7247673932e-01 -1.0748990244e+00 1.7609685251e+01 1.2000000000e-03
1.0000000000e+00 16 15 5.7633016690e+01 -1.8570282928e+00 2.6702693227e-01 5.7575061146e+01 -411 5.7933935211e+01 -1.8517773999e+00 3.0652418814e-01 5.7873330071e+01 1.2000000000e-03
1.0000000000e+00 17 -15 2.0398577298e+01 -9.9662435128e-01 4.6331884575e-01 2.0291302128e+01 411 2.1418549607e+01 -1.0088976418e+00 3.9927736228e-01 2.1309187959e+01 1.2000000000e-03
1.0000000000e+00 18 15 1.3953364169e+01 -1.0653663803e+00 3.4493863517e-01 1.3794393576e+01 -431 1.4006100030e+01 -1.1091498857e+00 3.2847727675e-01 1.3818747207e+01 5.3600000000e-02
1.0000000000e+00 19 15 3.9014702209e+01 -4.6630862384e-01 1.7825484939e-01 3.8971023603e+01 -411 4.2868958293e+01 -5.4416218525e-01 2.3584016972e-01 4.2824063015e+01 1.2000000000e-03
1.0000000000e+00 20 15 5.0760693065e+01 -8.5378728974e-02 -3.3965646837e-01 5.0728376823e+01 -411 5.1323939938e+01 -3.3206400581e-02 -3.6659967945e-01 5.1288554608e+01 1.2000000000e-03
1.0000000000e+00 21 15 1.9325878222e+01 8.2911043165e-01 -6.1257304850e-01 1.9216394300e+01 -431 2.1922263201e+01 7.4517383697e-01 -6.6108287138e-01 2.1810968716e+01 5.3600000000e-02
1.0000000000e+00 22 -15 7.6849991047e+00 -1.2423857051e+00 4.7320599554e-01 7.3576270476e+00 411 8.4338457541e+00 -1.3937794435e+00 4.7680915687e-01 8.0910016160e+00 1.2000000000e-03
