# pythia: 8310
# beam_energy: 120.0
# ptcut: 10000
# seed: 711
# mode: soft
# beam_mode: fixed
# total_xsec_mb: 38.4539130084  
# tau_xsec_mb: 0.0000108560   
# event_number particle_count pid E px py pz mother_pid E_mother px_mother py_mother pz_mother weights
1.0000000000e+00 1 15 1.8392132448e+01 -3.2143741796e-01 -1.2276333688e+00 1.8262065627e+01 -431 1.9045861807e+01 -2.3995702380e-01 -1.1577885297e+00 1.8906925859e+01 5.3600000000e-02
1.0000000000e+00 2 -15 9.9493561492e+00 -9.1406686647e-01 1.0834418525e-01 9.7460423646e+00 411 1.0340904934e+01 -9.7482317139e-01 2.0064549770e-01 1.0121674619e+01 1.2000000000e-03
1.0000000000e+00 3 -15 1.4174945751e+01 3.7827541893e-01 6.1730162933e-01 1.4044495154e+01 411 1.4443820168e+01 3.6171514697e-01 5.6043721790e-01 1.4306765336e+01 1.2000000000e-03
1.0000000000e+00 4 -15 9.5845758865e+00 -2.0581472020e-01 -3.7173889258e-01 9.4088498823e+00 411 9.7876186602e+00 -1.5899794302e-01 -3.2415714846e-01 9.6006063293e+00 1.2000000000e-03
1.0000000000e+00 5 -15 1.7152423979e+01 7.1105674902e-02 -5.3266958042e-01 1.7051679276e+01 411 1.7511699064e+01 1.3363858605e-01 -5.8761838700e-01 1.7401177274e+01 1.2000000000e-03
1.0000000000e+00 6 15 1.0026183993e+01 4.3974722902e-01 1.8633700301e+00 9.6799664598e+00 -431 1.1972558080e+01 4.6090122783e-01 2.1085099931e+00 1.1610725635e+01 5.3600000000e-02
1.0000000000e+00 7 -15 1.9612811466e+01 1.2442079542e+00 -8.8001504981e-01 1.9472616783e+01 411 2.1222240639e+01 1.2668055426e+00 -9.6237646009e-01 2.1079778321e+01 1.2000000000e-03
1.0000000000e+00 8 -15 2.2267649226e+01 2.1446320650e-01 -1.7013757701e-02 2.2195603817e+01 411 2.2965055800e+01 2.9741757512e-01 -5.8457294054e-02 2.2886817920e+01 1.2000000000e-03
1.0000000000e+00 9 15 2.0510499089e+01 7.1035996619e-01 -2.2322321213e-01 2.0419819874e+01 -411 2.1291562224e+01 6.4633267955e-01 -2.2826382244e-01 2.1198237962e+01 1.2000000000e-03
1.0000000000e+00 10 -15 3.2729065387e+01 1.5549028861e-01 1.3445103914e-01 3.2680152654e+01 411 3.3184211684e+01 9.9359119781e-02 1.1014379329e-01 3.3131169950e+01 1.2000000000e-03
1.0000000000e+00 11 15 2.5527498960e+01 3.6614855538e-01 -5.6726073190e-02 2.5462891258e+01 -411 2.7603179078e+01 3.3462511626e-01 -1.1488201673e-01 2.7537517035e+01 1.2000000000e-03
1.0000000000e+00 12 -15 3.8353064186e+01 -2.2379863484e+00 8.0756490001e-01 3.8237935342e+01 411 3.9365869801e+01 -2.2758889329e+00 9.0812394045e-01 3.9245023464e+01 1.2000000000e-03
1.0000000000e+00 13 15 2.6537706064e+01 1.4244409613e-01 -3.7992127651e-01 2.6475047183e+01 -411 2.9084433896e+01 1.1134416188e-01 -3.7949703729e-01 2.9021585081e+01 1.2000000000e-03
1.0000000000e+00 14 15 2.8413911521e+01 4.3542703692e-01 -2.8039962343e-01 2.8353572226e+01 -431 3.4230352234e+01 4.2087572615e-01 -2.7653605563e-01 3.4169993453e+01 5.3600000000e-02
1.0000000000e+00 15 15 1.3774119565e+01 -1.8960528111e-03 9.9729669377e-01 1.3622579645e+01 -411 1.4312424986e+01 7.0180535111e-02 1.0923200139e+00 1.4147506555e+01 1.2000000000e-03
1.0000000000e+00 16 15 1.7476892283e+01 3.6606497965e-01 -4.9270852060e-01 1.7375497383e+01 100443 2.9408324237e+01 8.5831493576e-01 -3.0685214761e-01 2.9162147736e+01 3.1000000000e-03
1.0000000000e+00 17 -15 1.1931431954e+01 4.9224995610e-01 1.8585637299e-01 1.1786650353e+01 100443 2.9408324237e+01 8.5831493576e-01 -3.0685214761e-01 2.9162147736e+01 3.1000000000e-03
1.0000000000e+00 18 -15 7.3654802688e+00 -8.2186235924e-01 4.0839818397e-02 7.1004284835e+00 411 7.6119195981e+00 -7.6937847645e-01 4.9192613351e-03 7.3385198497e+00 1.2000000000e-03
1.0000000000e+00 19 15 1.1797677995e+01 -9.9229543863e-01 -8.2599848457e-03 1.1620817454e+01 -431 1.4402940773e+01 -1.1589864538e+00 -3.6398010845e-02 1.4220589847e+01 5.3600000000e-02
1.0000000000e+00 20 15 1.1886870823e+01 6.1258440312e-01 -5.2646971108e-01 1.1725535324e+01 -411 1.2455336871e+01 5.7102298468e-01 -4.8906025892e-01 1.2291244463e+01 1.2000000000e-03
1.0000000000e+00 21 -15 1.2818257057e+01 5.8988614782e-01 -2.7282750917e-01 1.2677863549e+01 411 1.3562939187e+01 5.2963974785e-01 -2.8249475715e-01 1.3420041688e+01 1.2000000000e-03
1.0000000000e+00 22 -15 1.6203745749e+01 1.2594330535e+00 1.3098698376e+00 1.6003198317e+01 431 1.9391056153e+01 1.5527293189e+00 1.4393289414e+00 1.9174344049e+01 5.3600000000e-02
1.0000000000e+00 23 -15 1.6377623578e+01 -1.3005267863e+00 3.9317409030e-01 1.6224164353e+01 411 1.6618833681e+01 -1.3578392776e+00 4.5094340342e-01 1.6451233283e+01 1.2000000000e-03
1.0000000000e+00 24 15 1.1883774335e+01 3.5979639683e-01 -3.7507074547e-01 1.1738691223e+01 -411 1.2364537948e+01 4.5973605470e-01 -3.5550453263e-01 1.2208545328e+01 1.2000000000e-03
1.0000000000e+00 25 -15 7.1138263808e+00 4.1058071692e-01 -3.9882925424e-01 6.8645316784e+00 411 7.7277051808e+00 3.7518357774e-01 -4.5177973480e-01 7.4750973754e+00 1.2000000000e-03
1.0000000000e+00 26 -15 1.9102008243e+01 1.7093422797e-01 -6.9661932624e-01 1.9005660541e+01 411 1.9242628769e+01 2.1881586190e-01 -6.9247101455e-01 1.9137813002e+01 1.2000000000e-03
1.0000000000e+00 27 -15 1.8556635906e+01 -1.9592004248e-01 -1.1031955922e+00 1.8437359400e+01 431 2.0228919056e+01 -4.0814433090e-01 -1.1682676054e+00 2.0094844669e+01 5.3600000000e-02
1.0000000000e+00 28 15 4.2621222995e+01 7.5887385224e-01 8.6032299101e-01 4.2568715215e+01 -411 4.4225473028e+01 7.2976178720e-01 8.2244873460e-01 4.4172253864e+01 1.2000000000e-03
1.0000000000e+00 29 -15 1.5408057635e+01 -1.8036381002e-01 -2.4709042150e-01 1.5302207880e+01 411 1.5438455002e+01 -1.8743965887e-01 -2.2515778618e-01 1.5322029378e+01 1.2000000000e-03
1.0000000000e+00 30 -15 3.8816541377e+01 2.1952831946e-01 9.3988202314e-02 3.8775117907e+01 411 4.1132348244e+01 3.2133293264e-01 6.6698558550e-02 4.1088525036e+01 1.2000000000e-03
